narrative_text,disaster_type,pension_intent
"At the age of 60, I stay in Ranchi city. my house was submerged due to flooding. due to old age i am unemployed.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. my house was submerged due to flooding. due to old age i am unemployed.",Flood,OldAge
I am 60 years of age. my house was submerged due to flooding. I live in Ranchi city and due to old age i am unemployed.,Flood,OldAge
"After the incident, I remain in Ranchi city. my house was submerged due to flooding. At 60, due to old age i am unemployed.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. my house was submerged due to flooding. As a result, due to old age i am unemployed.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, my house was submerged due to flooding. At 60, due to old age i am unemployed.",Flood,OldAge
I am 60 years old and live in Ranchi city. my house was submerged due to flooding. my advanced age prevents me from earning.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. my advanced age prevents me from earning. my house was submerged due to flooding.",Flood,OldAge
My house was submerged due to flooding in Ranchi city. I am 60 years old. my advanced age prevents me from earning.,Flood,OldAge
"I live in Ranchi city. my house was submerged due to flooding. Due to my condition, my advanced age prevents me from earning.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. my house was submerged due to flooding. my advanced age prevents me from earning.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. my house was submerged due to flooding. my advanced age prevents me from earning.",Flood,OldAge
I am 60 years of age. my house was submerged due to flooding. I live in Ranchi city and my advanced age prevents me from earning.,Flood,OldAge
"After the incident, I remain in Ranchi city. my house was submerged due to flooding. At 60, my advanced age prevents me from earning.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. my house was submerged due to flooding. As a result, my advanced age prevents me from earning.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, my house was submerged due to flooding. At 60, my advanced age prevents me from earning.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood waters washed away my belongings. because of my age i cannot work.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. because of my age i cannot work. flood waters washed away my belongings.",Flood,OldAge
Flood waters washed away my belongings in Ranchi city. I am 60 years old. because of my age i cannot work.,Flood,OldAge
"I live in Ranchi city. flood waters washed away my belongings. Due to my condition, because of my age i cannot work.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. flood waters washed away my belongings. because of my age i cannot work.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. flood waters washed away my belongings. because of my age i cannot work.",Flood,OldAge
I am 60 years of age. flood waters washed away my belongings. I live in Ranchi city and because of my age i cannot work.,Flood,OldAge
"After the incident, I remain in Ranchi city. flood waters washed away my belongings. At 60, because of my age i cannot work.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. flood waters washed away my belongings. As a result, because of my age i cannot work.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, flood waters washed away my belongings. At 60, because of my age i cannot work.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood waters washed away my belongings. i am too old to earn now.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i am too old to earn now. flood waters washed away my belongings.",Flood,OldAge
Flood waters washed away my belongings in Ranchi city. I am 60 years old. i am too old to earn now.,Flood,OldAge
"I live in Ranchi city. flood waters washed away my belongings. Due to my condition, i am too old to earn now.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. flood waters washed away my belongings. i am too old to earn now.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. flood waters washed away my belongings. i am too old to earn now.",Flood,OldAge
I am 60 years of age. flood waters washed away my belongings. I live in Ranchi city and i am too old to earn now.,Flood,OldAge
"After the incident, I remain in Ranchi city. flood waters washed away my belongings. At 60, i am too old to earn now.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. flood waters washed away my belongings. As a result, i am too old to earn now.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, flood waters washed away my belongings. At 60, i am too old to earn now.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood waters washed away my belongings. i am elderly and dependent on support.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i am elderly and dependent on support. flood waters washed away my belongings.",Flood,OldAge
Flood waters washed away my belongings in Ranchi city. I am 60 years old. i am elderly and dependent on support.,Flood,OldAge
"I live in Ranchi city. flood waters washed away my belongings. Due to my condition, i am elderly and dependent on support.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. flood waters washed away my belongings. i am elderly and dependent on support.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. flood waters washed away my belongings. i am elderly and dependent on support.",Flood,OldAge
I am 60 years of age. flood waters washed away my belongings. I live in Ranchi city and i am elderly and dependent on support.,Flood,OldAge
"After the incident, I remain in Ranchi city. flood waters washed away my belongings. At 60, i am elderly and dependent on support.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. flood waters washed away my belongings. As a result, i am elderly and dependent on support.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, flood waters washed away my belongings. At 60, i am elderly and dependent on support.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood waters washed away my belongings. my age does not allow me to do physical work.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. my age does not allow me to do physical work. flood waters washed away my belongings.",Flood,OldAge
Flood waters washed away my belongings in Ranchi city. I am 60 years old. my age does not allow me to do physical work.,Flood,OldAge
"I live in Ranchi city. flood waters washed away my belongings. Due to my condition, my age does not allow me to do physical work.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. flood waters washed away my belongings. my age does not allow me to do physical work.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. flood waters washed away my belongings. my age does not allow me to do physical work.",Flood,OldAge
I am 60 years of age. flood waters washed away my belongings. I live in Ranchi city and my age does not allow me to do physical work.,Flood,OldAge
"After the incident, I remain in Ranchi city. flood waters washed away my belongings. At 60, my age does not allow me to do physical work.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. flood waters washed away my belongings. As a result, my age does not allow me to do physical work.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, flood waters washed away my belongings. At 60, my age does not allow me to do physical work.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood waters washed away my belongings. i have no strength to work at this age.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i have no strength to work at this age. flood waters washed away my belongings.",Flood,OldAge
Flood waters washed away my belongings in Ranchi city. I am 60 years old. i have no strength to work at this age.,Flood,OldAge
"I live in Ranchi city. flood waters washed away my belongings. Due to my condition, i have no strength to work at this age.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. flood waters washed away my belongings. i have no strength to work at this age.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. flood waters washed away my belongings. i have no strength to work at this age.",Flood,OldAge
I am 60 years of age. flood waters washed away my belongings. I live in Ranchi city and i have no strength to work at this age.,Flood,OldAge
"After the incident, I remain in Ranchi city. flood waters washed away my belongings. At 60, i have no strength to work at this age.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. flood waters washed away my belongings. As a result, i have no strength to work at this age.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, flood waters washed away my belongings. At 60, i have no strength to work at this age.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood waters washed away my belongings. due to old age i am unemployed.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. due to old age i am unemployed. flood waters washed away my belongings.",Flood,OldAge
Flood waters washed away my belongings in Ranchi city. I am 60 years old. due to old age i am unemployed.,Flood,OldAge
"I live in Ranchi city. flood waters washed away my belongings. Due to my condition, due to old age i am unemployed.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. flood waters washed away my belongings. due to old age i am unemployed.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. flood waters washed away my belongings. due to old age i am unemployed.",Flood,OldAge
I am 60 years of age. flood waters washed away my belongings. I live in Ranchi city and due to old age i am unemployed.,Flood,OldAge
"After the incident, I remain in Ranchi city. flood waters washed away my belongings. At 60, due to old age i am unemployed.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. flood waters washed away my belongings. As a result, due to old age i am unemployed.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, flood waters washed away my belongings. At 60, due to old age i am unemployed.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood waters washed away my belongings. my advanced age prevents me from earning.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. my advanced age prevents me from earning. flood waters washed away my belongings.",Flood,OldAge
Flood waters washed away my belongings in Ranchi city. I am 60 years old. my advanced age prevents me from earning.,Flood,OldAge
"I live in Ranchi city. flood waters washed away my belongings. Due to my condition, my advanced age prevents me from earning.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. flood waters washed away my belongings. my advanced age prevents me from earning.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. flood waters washed away my belongings. my advanced age prevents me from earning.",Flood,OldAge
I am 60 years of age. flood waters washed away my belongings. I live in Ranchi city and my advanced age prevents me from earning.,Flood,OldAge
"After the incident, I remain in Ranchi city. flood waters washed away my belongings. At 60, my advanced age prevents me from earning.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. flood waters washed away my belongings. As a result, my advanced age prevents me from earning.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, flood waters washed away my belongings. At 60, my advanced age prevents me from earning.",Flood,OldAge
I am 60 years old and live in Ranchi city. severe flooding left my house unlivable. because of my age i cannot work.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. because of my age i cannot work. severe flooding left my house unlivable.",Flood,OldAge
Severe flooding left my house unlivable in Ranchi city. I am 60 years old. because of my age i cannot work.,Flood,OldAge
"I live in Ranchi city. severe flooding left my house unlivable. Due to my condition, because of my age i cannot work.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. severe flooding left my house unlivable. because of my age i cannot work.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. severe flooding left my house unlivable. because of my age i cannot work.",Flood,OldAge
I am 60 years of age. severe flooding left my house unlivable. I live in Ranchi city and because of my age i cannot work.,Flood,OldAge
"After the incident, I remain in Ranchi city. severe flooding left my house unlivable. At 60, because of my age i cannot work.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. severe flooding left my house unlivable. As a result, because of my age i cannot work.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, severe flooding left my house unlivable. At 60, because of my age i cannot work.",Flood,OldAge
I am 60 years old and live in Ranchi city. severe flooding left my house unlivable. i am too old to earn now.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i am too old to earn now. severe flooding left my house unlivable.",Flood,OldAge
Severe flooding left my house unlivable in Ranchi city. I am 60 years old. i am too old to earn now.,Flood,OldAge
"I live in Ranchi city. severe flooding left my house unlivable. Due to my condition, i am too old to earn now.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. severe flooding left my house unlivable. i am too old to earn now.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. severe flooding left my house unlivable. i am too old to earn now.",Flood,OldAge
I am 60 years of age. severe flooding left my house unlivable. I live in Ranchi city and i am too old to earn now.,Flood,OldAge
"After the incident, I remain in Ranchi city. severe flooding left my house unlivable. At 60, i am too old to earn now.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. severe flooding left my house unlivable. As a result, i am too old to earn now.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, severe flooding left my house unlivable. At 60, i am too old to earn now.",Flood,OldAge
I am 60 years old and live in Ranchi city. severe flooding left my house unlivable. i am elderly and dependent on support.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i am elderly and dependent on support. severe flooding left my house unlivable.",Flood,OldAge
Severe flooding left my house unlivable in Ranchi city. I am 60 years old. i am elderly and dependent on support.,Flood,OldAge
"I live in Ranchi city. severe flooding left my house unlivable. Due to my condition, i am elderly and dependent on support.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. severe flooding left my house unlivable. i am elderly and dependent on support.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. severe flooding left my house unlivable. i am elderly and dependent on support.",Flood,OldAge
I am 60 years of age. severe flooding left my house unlivable. I live in Ranchi city and i am elderly and dependent on support.,Flood,OldAge
"After the incident, I remain in Ranchi city. severe flooding left my house unlivable. At 60, i am elderly and dependent on support.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. severe flooding left my house unlivable. As a result, i am elderly and dependent on support.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, severe flooding left my house unlivable. At 60, i am elderly and dependent on support.",Flood,OldAge
I am 60 years old and live in Ranchi city. severe flooding left my house unlivable. my age does not allow me to do physical work.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. my age does not allow me to do physical work. severe flooding left my house unlivable.",Flood,OldAge
Severe flooding left my house unlivable in Ranchi city. I am 60 years old. my age does not allow me to do physical work.,Flood,OldAge
"I live in Ranchi city. severe flooding left my house unlivable. Due to my condition, my age does not allow me to do physical work.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. severe flooding left my house unlivable. my age does not allow me to do physical work.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. severe flooding left my house unlivable. my age does not allow me to do physical work.",Flood,OldAge
I am 60 years of age. severe flooding left my house unlivable. I live in Ranchi city and my age does not allow me to do physical work.,Flood,OldAge
"After the incident, I remain in Ranchi city. severe flooding left my house unlivable. At 60, my age does not allow me to do physical work.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. severe flooding left my house unlivable. As a result, my age does not allow me to do physical work.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, severe flooding left my house unlivable. At 60, my age does not allow me to do physical work.",Flood,OldAge
I am 60 years old and live in Ranchi city. severe flooding left my house unlivable. i have no strength to work at this age.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i have no strength to work at this age. severe flooding left my house unlivable.",Flood,OldAge
Severe flooding left my house unlivable in Ranchi city. I am 60 years old. i have no strength to work at this age.,Flood,OldAge
"I live in Ranchi city. severe flooding left my house unlivable. Due to my condition, i have no strength to work at this age.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. severe flooding left my house unlivable. i have no strength to work at this age.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. severe flooding left my house unlivable. i have no strength to work at this age.",Flood,OldAge
I am 60 years of age. severe flooding left my house unlivable. I live in Ranchi city and i have no strength to work at this age.,Flood,OldAge
"After the incident, I remain in Ranchi city. severe flooding left my house unlivable. At 60, i have no strength to work at this age.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. severe flooding left my house unlivable. As a result, i have no strength to work at this age.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, severe flooding left my house unlivable. At 60, i have no strength to work at this age.",Flood,OldAge
I am 60 years old and live in Ranchi city. severe flooding left my house unlivable. due to old age i am unemployed.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. due to old age i am unemployed. severe flooding left my house unlivable.",Flood,OldAge
Severe flooding left my house unlivable in Ranchi city. I am 60 years old. due to old age i am unemployed.,Flood,OldAge
"I live in Ranchi city. severe flooding left my house unlivable. Due to my condition, due to old age i am unemployed.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. severe flooding left my house unlivable. due to old age i am unemployed.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. severe flooding left my house unlivable. due to old age i am unemployed.",Flood,OldAge
I am 60 years of age. severe flooding left my house unlivable. I live in Ranchi city and due to old age i am unemployed.,Flood,OldAge
"After the incident, I remain in Ranchi city. severe flooding left my house unlivable. At 60, due to old age i am unemployed.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. severe flooding left my house unlivable. As a result, due to old age i am unemployed.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, severe flooding left my house unlivable. At 60, due to old age i am unemployed.",Flood,OldAge
I am 60 years old and live in Ranchi city. severe flooding left my house unlivable. my advanced age prevents me from earning.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. my advanced age prevents me from earning. severe flooding left my house unlivable.",Flood,OldAge
Severe flooding left my house unlivable in Ranchi city. I am 60 years old. my advanced age prevents me from earning.,Flood,OldAge
"I live in Ranchi city. severe flooding left my house unlivable. Due to my condition, my advanced age prevents me from earning.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. severe flooding left my house unlivable. my advanced age prevents me from earning.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. severe flooding left my house unlivable. my advanced age prevents me from earning.",Flood,OldAge
I am 60 years of age. severe flooding left my house unlivable. I live in Ranchi city and my advanced age prevents me from earning.,Flood,OldAge
"After the incident, I remain in Ranchi city. severe flooding left my house unlivable. At 60, my advanced age prevents me from earning.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. severe flooding left my house unlivable. As a result, my advanced age prevents me from earning.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, severe flooding left my house unlivable. At 60, my advanced age prevents me from earning.",Flood,OldAge
I am 60 years old and live in Ranchi city. continuous rain caused flooding in my area. because of my age i cannot work.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. because of my age i cannot work. continuous rain caused flooding in my area.",Flood,OldAge
Continuous rain caused flooding in my area in Ranchi city. I am 60 years old. because of my age i cannot work.,Flood,OldAge
"I live in Ranchi city. continuous rain caused flooding in my area. Due to my condition, because of my age i cannot work.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. continuous rain caused flooding in my area. because of my age i cannot work.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. continuous rain caused flooding in my area. because of my age i cannot work.",Flood,OldAge
I am 60 years of age. continuous rain caused flooding in my area. I live in Ranchi city and because of my age i cannot work.,Flood,OldAge
"After the incident, I remain in Ranchi city. continuous rain caused flooding in my area. At 60, because of my age i cannot work.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. continuous rain caused flooding in my area. As a result, because of my age i cannot work.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, continuous rain caused flooding in my area. At 60, because of my age i cannot work.",Flood,OldAge
I am 60 years old and live in Ranchi city. continuous rain caused flooding in my area. i am too old to earn now.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i am too old to earn now. continuous rain caused flooding in my area.",Flood,OldAge
Continuous rain caused flooding in my area in Ranchi city. I am 60 years old. i am too old to earn now.,Flood,OldAge
"I live in Ranchi city. continuous rain caused flooding in my area. Due to my condition, i am too old to earn now.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. continuous rain caused flooding in my area. i am too old to earn now.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. continuous rain caused flooding in my area. i am too old to earn now.",Flood,OldAge
I am 60 years of age. continuous rain caused flooding in my area. I live in Ranchi city and i am too old to earn now.,Flood,OldAge
"After the incident, I remain in Ranchi city. continuous rain caused flooding in my area. At 60, i am too old to earn now.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. continuous rain caused flooding in my area. As a result, i am too old to earn now.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, continuous rain caused flooding in my area. At 60, i am too old to earn now.",Flood,OldAge
I am 60 years old and live in Ranchi city. continuous rain caused flooding in my area. i am elderly and dependent on support.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i am elderly and dependent on support. continuous rain caused flooding in my area.",Flood,OldAge
Continuous rain caused flooding in my area in Ranchi city. I am 60 years old. i am elderly and dependent on support.,Flood,OldAge
"I live in Ranchi city. continuous rain caused flooding in my area. Due to my condition, i am elderly and dependent on support.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. continuous rain caused flooding in my area. i am elderly and dependent on support.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. continuous rain caused flooding in my area. i am elderly and dependent on support.",Flood,OldAge
I am 60 years of age. continuous rain caused flooding in my area. I live in Ranchi city and i am elderly and dependent on support.,Flood,OldAge
"After the incident, I remain in Ranchi city. continuous rain caused flooding in my area. At 60, i am elderly and dependent on support.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. continuous rain caused flooding in my area. As a result, i am elderly and dependent on support.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, continuous rain caused flooding in my area. At 60, i am elderly and dependent on support.",Flood,OldAge
I am 60 years old and live in Ranchi city. continuous rain caused flooding in my area. my age does not allow me to do physical work.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. my age does not allow me to do physical work. continuous rain caused flooding in my area.",Flood,OldAge
Continuous rain caused flooding in my area in Ranchi city. I am 60 years old. my age does not allow me to do physical work.,Flood,OldAge
"I live in Ranchi city. continuous rain caused flooding in my area. Due to my condition, my age does not allow me to do physical work.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. continuous rain caused flooding in my area. my age does not allow me to do physical work.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. continuous rain caused flooding in my area. my age does not allow me to do physical work.",Flood,OldAge
I am 60 years of age. continuous rain caused flooding in my area. I live in Ranchi city and my age does not allow me to do physical work.,Flood,OldAge
"After the incident, I remain in Ranchi city. continuous rain caused flooding in my area. At 60, my age does not allow me to do physical work.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. continuous rain caused flooding in my area. As a result, my age does not allow me to do physical work.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, continuous rain caused flooding in my area. At 60, my age does not allow me to do physical work.",Flood,OldAge
I am 60 years old and live in Ranchi city. continuous rain caused flooding in my area. i have no strength to work at this age.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i have no strength to work at this age. continuous rain caused flooding in my area.",Flood,OldAge
Continuous rain caused flooding in my area in Ranchi city. I am 60 years old. i have no strength to work at this age.,Flood,OldAge
"I live in Ranchi city. continuous rain caused flooding in my area. Due to my condition, i have no strength to work at this age.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. continuous rain caused flooding in my area. i have no strength to work at this age.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. continuous rain caused flooding in my area. i have no strength to work at this age.",Flood,OldAge
I am 60 years of age. continuous rain caused flooding in my area. I live in Ranchi city and i have no strength to work at this age.,Flood,OldAge
"After the incident, I remain in Ranchi city. continuous rain caused flooding in my area. At 60, i have no strength to work at this age.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. continuous rain caused flooding in my area. As a result, i have no strength to work at this age.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, continuous rain caused flooding in my area. At 60, i have no strength to work at this age.",Flood,OldAge
I am 60 years old and live in Ranchi city. continuous rain caused flooding in my area. due to old age i am unemployed.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. due to old age i am unemployed. continuous rain caused flooding in my area.",Flood,OldAge
Continuous rain caused flooding in my area in Ranchi city. I am 60 years old. due to old age i am unemployed.,Flood,OldAge
"I live in Ranchi city. continuous rain caused flooding in my area. Due to my condition, due to old age i am unemployed.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. continuous rain caused flooding in my area. due to old age i am unemployed.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. continuous rain caused flooding in my area. due to old age i am unemployed.",Flood,OldAge
I am 60 years of age. continuous rain caused flooding in my area. I live in Ranchi city and due to old age i am unemployed.,Flood,OldAge
"After the incident, I remain in Ranchi city. continuous rain caused flooding in my area. At 60, due to old age i am unemployed.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. continuous rain caused flooding in my area. As a result, due to old age i am unemployed.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, continuous rain caused flooding in my area. At 60, due to old age i am unemployed.",Flood,OldAge
I am 60 years old and live in Ranchi city. continuous rain caused flooding in my area. my advanced age prevents me from earning.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. my advanced age prevents me from earning. continuous rain caused flooding in my area.",Flood,OldAge
Continuous rain caused flooding in my area in Ranchi city. I am 60 years old. my advanced age prevents me from earning.,Flood,OldAge
"I live in Ranchi city. continuous rain caused flooding in my area. Due to my condition, my advanced age prevents me from earning.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. continuous rain caused flooding in my area. my advanced age prevents me from earning.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. continuous rain caused flooding in my area. my advanced age prevents me from earning.",Flood,OldAge
I am 60 years of age. continuous rain caused flooding in my area. I live in Ranchi city and my advanced age prevents me from earning.,Flood,OldAge
"After the incident, I remain in Ranchi city. continuous rain caused flooding in my area. At 60, my advanced age prevents me from earning.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. continuous rain caused flooding in my area. As a result, my advanced age prevents me from earning.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, continuous rain caused flooding in my area. At 60, my advanced age prevents me from earning.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood destroyed my shelter completely. because of my age i cannot work.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. because of my age i cannot work. flood destroyed my shelter completely.",Flood,OldAge
Flood destroyed my shelter completely in Ranchi city. I am 60 years old. because of my age i cannot work.,Flood,OldAge
"I live in Ranchi city. flood destroyed my shelter completely. Due to my condition, because of my age i cannot work.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. flood destroyed my shelter completely. because of my age i cannot work.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. flood destroyed my shelter completely. because of my age i cannot work.",Flood,OldAge
I am 60 years of age. flood destroyed my shelter completely. I live in Ranchi city and because of my age i cannot work.,Flood,OldAge
"After the incident, I remain in Ranchi city. flood destroyed my shelter completely. At 60, because of my age i cannot work.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. flood destroyed my shelter completely. As a result, because of my age i cannot work.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, flood destroyed my shelter completely. At 60, because of my age i cannot work.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood destroyed my shelter completely. i am too old to earn now.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i am too old to earn now. flood destroyed my shelter completely.",Flood,OldAge
Flood destroyed my shelter completely in Ranchi city. I am 60 years old. i am too old to earn now.,Flood,OldAge
"I live in Ranchi city. flood destroyed my shelter completely. Due to my condition, i am too old to earn now.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. flood destroyed my shelter completely. i am too old to earn now.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. flood destroyed my shelter completely. i am too old to earn now.",Flood,OldAge
I am 60 years of age. flood destroyed my shelter completely. I live in Ranchi city and i am too old to earn now.,Flood,OldAge
"After the incident, I remain in Ranchi city. flood destroyed my shelter completely. At 60, i am too old to earn now.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. flood destroyed my shelter completely. As a result, i am too old to earn now.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, flood destroyed my shelter completely. At 60, i am too old to earn now.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood destroyed my shelter completely. i am elderly and dependent on support.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. i am elderly and dependent on support. flood destroyed my shelter completely.",Flood,OldAge
Flood destroyed my shelter completely in Ranchi city. I am 60 years old. i am elderly and dependent on support.,Flood,OldAge
"I live in Ranchi city. flood destroyed my shelter completely. Due to my condition, i am elderly and dependent on support.",Flood,OldAge
"At the age of 60, I stay in Ranchi city. flood destroyed my shelter completely. i am elderly and dependent on support.",Flood,OldAge
"Currently residing in Ranchi city, I am 60 years old. flood destroyed my shelter completely. i am elderly and dependent on support.",Flood,OldAge
I am 60 years of age. flood destroyed my shelter completely. I live in Ranchi city and i am elderly and dependent on support.,Flood,OldAge
"After the incident, I remain in Ranchi city. flood destroyed my shelter completely. At 60, i am elderly and dependent on support.",Flood,OldAge
"My age is 60 and I stay in Ranchi city. flood destroyed my shelter completely. As a result, i am elderly and dependent on support.",Flood,OldAge
"I reside in Ranchi city. Following the disaster, flood destroyed my shelter completely. At 60, i am elderly and dependent on support.",Flood,OldAge
I am 60 years old and live in Ranchi city. flood destroyed my shelter completely. my age does not allow me to do physical work.,Flood,OldAge
"Living in Ranchi city, I am 60 years old. my age does not allow me to do physical work. flood destroyed my shelter completely.",Flood,OldAge
Flood destroyed my shelter completely in Ranchi city. I am 60 years old. my age does not allow me to do physical work.,Flood,OldAge
